stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
44.628841,0,8166,-63.61989,,,,,Ridgevalley Rd After Cavendish Rd (8166),0,8166,
44.671931,0,8165,-63.616193,,,,,Northridge Rd Turning Loop (8165),0,8165,
44.72523,0,6971,-63.69577,,,,,Innovation Dr Before Hammonds Plains Rd (6971),0,6971,
44.627978,0,8169,-63.619029,,,,,Ridgevalley Rd Before Highfield St (8169),0,8169,
44.629881,0,8168,-63.621131,,,,,Ridgevalley Rd Before Bromley Rd (8168),0,8168,
44.651467,0,6979,-63.630584,,,,,Joseph Howe Dr Before Abbott Dr (6979),0,6979,
44.70074,0,8765,-63.461358,,,,,Ross Rd Before Salmon River Dr (8765),0,8765,
44.696105,0,8764,-63.458811,,,,,Ross Rd At Civic 156 (8764),0,8764,
44.709364,0,8767,-63.439365,,,,,Hwy 7 After Civic 1776 (8767),0,8767,
44.703868,0,8766,-63.465201,,,,,Ross Rd Before Hwy 7 (8766),0,8766,
44.684694,0,8761,-63.453609,,,,,Ross Rd Before Greenvale Cr (8761),0,8761,
44.682443,0,8760,-63.454169,,,,,Cole Harbour Rd Before Ross Rd (8760),0,8760,
44.691365,0,8763,-63.455759,,,,,Ross Rd After Glendale Dr (8763),0,8763,
44.687556,0,8762,-63.453618,,,,,Ross Rd After Brookside Ave (8762),0,8762,
44.656471,0,7180,-63.736659,,,,,Maplewood Dr Before St Margarets Bay Rd (7180),0,7180,
44.656383,0,7181,-63.736918,,,,,Maplewood Dr Before Norway Maple Dr (7181),0,7181,
44.633139,0,7182,-63.621599,,,,,Margaret Rd Before Mountain Rd (7182),0,7182,
44.633272,0,7183,-63.619947,,,,,Margaret Rd Before Civic 43 (7183),0,7183,
44.719744,0,8769,-63.433394,,,,,Brooks Dr Opposite East Preston Rec Centre (8769),0,8769,
44.715309,0,8768,-63.434592,,,,,Hwy 7 Before Lower Governor St (8768),0,8768,
44.633311,0,7186,-63.625895,,,,,Osborne St After Marriott St (7186),0,7186,
44.634393,0,7187,-63.624705,,,,,Mayo St After Withrod Dr (7187),0,7187,
44.67107,0,8389,-63.571856,,,,,Thistle St After Victoria Rd (8389),0,8389,
44.675545,0,8388,-63.566857,,,,,Thistle St Before Mayflower St (8388),0,8388,
44.672801,0,8387,-63.569901,,,,,Thistle St Before Slayter St (8387),0,8387,
44.675705,0,8386,-63.566674,,,,,Thistle St After Mayflower St (8386),0,8386,
44.673572,0,8385,-63.569009,,,,,Thistle St After Maple St (8385),0,8385,
44.677635,0,8384,-63.565264,,,,,Thistle St After Chrichton Park Rd (8384),0,8384,
44.674641,0,8383,-63.567833,,,,,Thistle St After Beech St (8383),0,8383,
44.65809,0,8503,-63.65442,,,,,Willett St Before Westridge Dr (8503),0,8503,
44.694648,0,8381,-63.4944,,,,,Taranaki Dr Opposite Karen Dr (8381),0,8381,
44.690807,0,8380,-63.494037,,,,,Taranaki Dr After Forest Hill Pky (8380),0,8380,
44.670764,0,8050,-63.531037,,,,,Portland St After Baker Dr (8050),0,8050,
44.660137,0,8549,-63.612672,,,,,Windsor St After Maxwell St (8549),0,8549,
44.740646,0,8548,-63.277781,,,,,Hwy 207 Before Keating Dr (8548),0,8548,
44.63178,0,8019,-63.521629,,,,,Main Rd After Albacore Pl (8019),0,8019,
44.629723,0,8018,-63.519473,,,,,Main Rd After Harvard Dr (8018),0,8018,
44.678,0,8545,-63.592305,,,,,Windmill Rd Before Bethel Ave (8545),0,8545,
44.667878,0,8016,-63.558639,,,,,Pleasant St Before Portland St (8016),0,8016,
44.616989,0,8015,-63.50042,,,,,Main Rd Opposite Civic 1341 (8015),0,8015,
44.614272,0,8014,-63.497377,,,,,Main Rd After Alex Ln (8014),0,8014,
44.641225,0,8013,-63.534124,,,,,Pleasant St Opposite Civic 600 (8013),0,8013,
44.623331,0,8012,-63.510095,,,,,Main Rd After Howard Ave (8012),0,8012,
44.644453,0,8011,-63.541218,,,,,Pleasant St Opposite Everette St (8011),0,8011,
44.65349,0,8010,-63.54854,,,,,Pleasant St Opposite Dartmouth General (8010),0,8010,
44.659694,0,6572,-63.5871,,,,,Valour Way Before Coxswains Ln (6572),0,6572,
44.656312,0,6573,-63.582345,,,,,Valour Way After Rainbow Gate (6573),0,6573,
44.658005,0,6570,-63.584802,,,,,Valour Way After Centre Gate (6570),0,6570,
44.657941,0,6571,-63.584772,,,,,Valour Way After Centre Gate (6571),0,6571,
44.677435,0,6576,-63.514772,,,,,Dorothea Dr Opposite Regal Rd (6576),0,6576,
44.685942,0,7453,-63.585973,,,,,Pinecrest Dr Before Civic 108 (7453),0,7453,
44.678793,0,6574,-63.512148,,,,,Dorothea Dr Before Topsail Blvd (6574),0,6574,
44.678,0,6575,-63.509029,,,,,Dorothea Dr After Lucien Dr (6575),0,6575,
